laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
143,HP,15-fc0659AU,Notebook,15.6,FHD 1920x1080,AMD Ryzen 5 7520U,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.59kg,81500
144,Asus,ExpertBook B5 B5302CEA,Notebook,13.3,LED FHD 1920x1080,Intel Core i5 1135G,8GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,1.34kg,82500
145,Acer,TravelLite TL14-52M-i5 13th Gen,Notebook,14,FHD 1920x1080,Intel Core i5 1335U,8GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,1.38kg,82500
146,Lenovo,IdeaPad Slim 3 15ARP10,Notebook,15.3,FHD 1920x1080,AMD Ryzen 5 7535HS,8GB,512GB SSD,AMD Radeon 660M Graphics,Windows 11,1.59kg,82500
147,Lenovo,IdeaPad Slim 3 15ARP10,Notebook,15.3,IPS Panel FHD 1920x1080,AMD Ryzen 5 7535HS,8GB,512GB SSD,AMD Radeon 660M Graphics,Windows 11,1.59kg,82500
148,HP,15-fd0892TU Series 1,Notebook,15.6,FHD 1920x1080,Intel Core 5 120U,8GB,512GB SSD,Intel Graphics,Windows 11,1.59kg,83000
149,Lenovo,IdeaPad Slim 3 15ABR8,Notebook,15.6,FHD 1920x1080,AMD Ryzen 5 5625U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.62kg,84000
150,Lenovo,IdeaPad Slim 3 15ABR8,Notebook,15.6,IPS Panel FHD 1920x1080,AMD Ryzen 5 5625U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.62kg,84000
151,Acer,Aspire 15 AS15-42,Notebook,15.6,IPS Panel FHD 1920x1080,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.79kg,84500
152,Lenovo,IdeaPad Slim 3 15IRH10,Notebook,15.3,FHD 1920x1080,Core i5 13th,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.59kg,85000
153,Lenovo,IdeaPad Slim 3 14IRH10 13th Gen,Notebook,14,FHD 1920x1080,Intel Core i5 13420H,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.39kg,86500
154,Lenovo,IdeaPad Slim 3 14IRH10,Notebook,14,FHD 1920x1080,Intel Core i5 13420H,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.39kg,87000
155,MSI,Modern A15 AI F2HMG,Notebook,15.6,FHD 1920x1080,AMD Ryzen 5 220,16GB,512GB SSD,AMD Radeon 740M Graphics,Windows 11,1.60kg,87000
156,MSI,"Modern A14 AI F2HMG 16GB DDR5 RAM, 512GB SSD, 14 Inch FHD",Notebook,14,FHD 1920x1080,Ryzen,16GB,512GB SSD,AMD Radeon 780M Graphics,No OS,1.50kg,87000
157,Dell,Pro 15 Essential PV15250,Notebook,15.6,FHD 1920x1080,Intel Core i5 1334U,8GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,1.90kg,87500
158,Lenovo,IdeaPad Slim 3 14IRH10R,Notebook,14,FHD 1920x1080,Intel Core 5 210H,16GB,512GB SSD,Intel Graphics,Windows 11,1.39kg,88500
159,Asus,ExpertBook P1 P1503CVA,Notebook,15.6,LED FHD 1920x1080,Intel Core 5 210H,8GB,512GB SSD,Intel Graphics,Windows 11,1.40kg,89500
160,Lenovo,IdeaPad Slim 3 15ABR8,Notebook,15.6,FHD 1920x1080,AMD Ryzen 7 5825U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.62kg,90000
161,Lenovo,IdeaPad Slim 3 15ABR8,Notebook,15.6,FHD 1920x1080,AMD Ryzen 7 5825U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.62kg,90000
162,Lenovo,IdeaPad Slim 3 14ABR8,Notebook,14,FHD 1920x1080,AMD Ryzen 7 5825U,16GB,512GB SSD,AMD Radeon Graphics,Windows 11,1.39kg,90000
163,HP,15-fd0880TU Series 1,Notebook,15.6,FHD 1920x1080,Intel Core 5 120U,16GB,512GB SSD,Intel Graphics,Windows 11,1.59kg,92000
164,Lenovo,IdeaPad Slim 3 14IRH10,Notebook,14,FHD 1920x1080,Intel Core i5 13420H,16GB,1TB SSD,Intel UHD Graphics,Windows 11,1.39kg,92500
165,Lenovo,IdeaPad Slim 3 15IRH10,Notebook,15.3,FHD 1920x1080,Intel Core i5 13420H,16GB,1TB SSD,Intel UHD Graphics,Windows 11,1.59kg,92500
166,Asus,VivoBook Go 14 L1404FA,Notebook,14,FHD 1920x1080,AMD Ryzen 5 7520U,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.40kg,93000
167,Asus,VivoBook Go 14 L1404FA,Notebook,14,FHD 1920x1080,AMD Ryzen 5 7520U,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.40kg,93000
168,Asus,VivoBook 14 A1404VA Series 1,Notebook,14,FHD 1920x1080,Intel Core 5 120U,16GB,512GB SSD,Intel Graphics,Windows 11,1.40kg,93000
169,Asus,VivoBook 14 A1404VA Series 1,Notebook,14,FHD 1920x1080,Intel Core 5 120U,16GB,512GB SSD,Intel Graphics,Windows 11,1.40kg,93000
170,Asus,VivoBook Go 15 E1504FA,Notebook,15.6,1920x1080,AMD Ryzen 5 40,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.63kg,93000
171,Asus,VivoBook Go 15 E1504FA,Notebook,15.6,1920x1080,AMD Ryzen 5 40,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.63kg,93000
172,Asus,VivoBook Go 15 E1504FA,Notebook,15.6,1920x1080,AMD Ryzen 5 40,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.63kg,93000
173,Asus,VivoBook Go 14 E1404FA,Notebook,14,FHD 1920x1080,AMD Ryzen 5 40,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.40kg,93000
174,Asus,VivoBook Go 14 E1404FA,Notebook,14,FHD 1920x1080,AMD Ryzen 5 40,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.40kg,93000
175,Asus,VivoBook Go 14 E1404FA,Notebook,14,FHD 1920x1080,AMD Ryzen 5 40,16GB,512GB SSD,AMD Radeon 610M Graphics,Windows 11,1.40kg,93000
176,Asus,ExpertBook B3 B3405CCA Series 1,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 125H,8GB,512GB SSD,Intel Arc graphics,Windows 11,1.40kg,93500
177,Asus,ExpertBook B3 B3605CCA,Ultrabook,16,WUXGA 1920x1200,Intel Core Ultra 5 125H,8GB,512GB SSD,Intel Arc Graphics,Windows 11,1.40kg,94000
178,Dell,Pro 14 Essential PV14250 Series 1,Notebook,14,FHD 1920x1080,Intel Core 5 120U,8GB,512GB SSD,Intel Graphics,Windows 11,1.90kg,95500
179,Lenovo,IdeaPad Slim 3 14IRH10R Series 2,Notebook,14,FHD 1920x1080,Intel Core 5 210H,16GB,512GB SSD,Intel Graphics,Windows 11,1.39kg,96500
180,Asus,VivoBook 14 F1407QA,Notebook,14,FHD 1920x1080,Snapdragon X X1-26-100,16GB,1TB SSD,Qualcomm Adreno Graphics,Windows 11,1.40kg,98000
181,Asus,VivoBook 14 F1407QA,Notebook,14,FHD 1920x1080,Snapdragon X X1-26-100,16GB,1TB SSD,Qualcomm Adreno Graphics,Windows 11,1.40kg,98000
182,Lenovo,IdeaPad Slim 3 15ARP10,Notebook,15.3,FHD 1920x1080,AMD Ryzen 7 7735HS,16GB,512GB SSD,AMD Radeon 680M Graphics,No OS,1.59kg,98000
183,MSI,"Modern A15 AI F2HMG 16GB RAM DDR5, 512GB NVMe PCIe SSD,",Notebook,15.6,FHD 1920x1080,Ryzen,16GB,512GB SSD,AMD Radeon 780M Graphics,No OS,1.60kg,98000
184,MSI,"Modern A14 AI F2HMG-14SK 16GB DDR5 RAM, 512GB SSD, 14 Inch",Notebook,14,FHD 1920x1080,Ryzen,16GB,512GB SSD,AMD Radeon 780M Graphics,No OS,1.50kg,98000
185,Lenovo,V15 Gen 5 IRL,Notebook,15.6,FHD 1920x1080,Intel Core i5 13420H,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.62kg,98000
186,Lenovo,LOQ Gaming 15IAX9E 12th Gen,Gaming,15.6,FHD 1920x1080,Intel Core i5 12450HX,12GB,512GB SSD,Nvidia RTX 2050 Graphics,Windows 11,2.38kg,99000
187,Lenovo,IdeaPad Slim 3 14IRH10 13th Gen,Notebook,14,FHD 1920x1080,Intel Core i7 13620H,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.39kg,99500
188,Lenovo,IdeaPad Slim 3 15IRH10R,Notebook,15.3,FHD 1920x1080,Intel Core 5 210H,24GB,512GB SSD,Intel Graphics,Windows 11,1.59kg,100500
189,Acer,Aspire Go 14 AG14-71M Series 1,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 125H,16GB,1TB SSD,Intel Arc Graphics,Windows 11,1.32kg,104000
190,Acer,Aspire Go 14 AG14-71M,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 125H,16GB,1TB SSD,Intel Arc Graphics,Windows 11,1.32kg,104000
191,Lenovo,IdeaPad Slim 5 14IRH10 13th Gen,Notebook,14,FHD 1920x1080,Intel Core i5 13420H,16GB,512GB SSD,Intel UHD Graphics,Windows 11,1.39kg,104500
192,MSI,Modern 15 F1MG Series 1,Notebook,15.6,1920x1080,Intel Core 7 150U,8GB,1TB SSD,Intel Graphics,Windows 11,1.60kg,105900
193,Lenovo,IdeaPad Slim 5 14Q8X9,Notebook,14,FHD 1920x1080,Snapdragon X Plus X1P-42-100,16GB,512GB SSD,Qualcomm Adreno Graphics,Windows 11,1.39kg,108000
194,MSI,Modern 14 H D2RMG Series 2,Notebook,14,FHD 1920x1080,Intel Core 7 240H,16GB,512GB SSD,Intel Graphics,Windows 11,1.50kg,109900
195,Lenovo,IdeaPad Slim 5 14IMH10,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 135H,16GB,512GB SSD,Intel Arc graphics,Windows 11,1.36kg,110000
196,Lenovo,IdeaPad Slim 5 16IMH10,Ultrabook,16,FHD 1920x1080,Intel Core Ultra 5 135H,16GB,512GB SSD,Intel Arc graphics,Windows 11,1.85kg,110000
197,Lenovo,LOQ Gaming 15IAX9 12th Gen,Gaming,15.6,FHD 1920x1080,Intel Core i5 12450HX,16GB,512GB SSD,Nvidia RTX 2050 Graphics,Windows 11,2.38kg,110500
198,Lenovo,IdeaPad Slim 5 14IRH10,Notebook,14,OLED FHD 1920x1080,Intel Core i5 13420H,16GB,1TB SSD,Intel UHD Graphics,Windows 11,1.39kg,112500
199,Lenovo,ThinkPad E14 Gen 7 Series 2,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 225U,8GB,512GB SSD,Intel Graphics,Windows 11,1.36kg,113000
200,Dell,Pro 14 PC14250 Series 2,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 225U,8GB,512GB SSD,Intel Graphics,Windows 11,1.38kg,113500
201,Lenovo,IdeaPad Slim 3 14AHP10,Notebook,14,FHD 1920x1080,AMD Ryzen 5 8640HS,16GB,512GB SSD,AMD Radeon 760M Graphics,Windows 11,1.39kg,113500
202,Lenovo,IdeaPad Slim 5 13ARP10,Notebook,13.3,FHD 1920x1080,AMD Ryzen 7 7735HS,16GB,512GB SSD,AMD Radeon 680M Graphics,Windows 11,1.34kg,114500
203,HP,ProBook 440 G11 Series 1,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 125U,8GB,512GB SSD,Intel Graphics,Windows 11,1.39kg,115000
204,Asus,VivoBook 14 F1407CA Series 2,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 225H,16GB,512GB SSD,Intel Arc 130V Graphics,Windows 11,1.40kg,116000
205,Asus,VivoBook 14 F1407CA Series 2,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 225H,16GB,512GB SSD,Intel Arc 130V Graphics,Windows 11,1.40kg,116000
206,Asus,VivoBook 16 F1607CA Series 2,Ultrabook,16,FHD 1920x1080,Intel Core Ultra 5 225H,16GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,1.88kg,116000
207,HP,ProBook 460 G11 Series 1,Ultrabook,16,FHD 1920x1080,Intel Core Ultra 5 125H,8GB,512GB SSD,Intel Arc Graphics,Windows 11,1.56kg,118000
208,Acer,TravelLite TL24-53M Series 1,Notebook,14,FHD 1920x1080,Intel Core 7 150U,16GB,512GB SSD,Intel Graphics,Windows 11,1.38kg,118000
209,Asus,Vivobook 14 M1407KA,Notebook,14,FHD 1920x1080,AMD Ryzen AI 5 330,16GB,512GB SSD,AMD Radeon 820M Graphics,Windows 11,1.40kg,118000
210,Asus,Vivobook 14 M1407KA,Notebook,14,FHD 1920x1080,AMD Ryzen AI 5 330,16GB,512GB SSD,AMD Radeon 820M Graphics,Windows 11,1.40kg,118000
211,Asus,ExpertBook P3 G1 P3406CCA Series 2,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 225H,16GB,512GB SSD,Intel Arc 130V Graphics,Windows 11,1.40kg,118000
212,Asus,ExpertBook B3 B3405CCA Series 2,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 225H,16GB,512GB SSD,Intel Arc 130V Graphics,Windows 11,1.40kg,118000
213,Asus,ExpertBook B1 B1403CVA,Notebook,14,FHD 1920x1080,Intel Core 7 150U,16GB,512GB SSD,Intel Graphics,No OS,1.40kg,118000
214,Asus,VivoBook 14 F1407CA Series 2,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 225H,16GB,1TB SSD,Intel Arc 130T Graphics,Windows 11,1.40kg,119000
215,Asus,VivoBook 16 F1607CA Series 2,Ultrabook,16,FHD 1920x1080,Intel Core Ultra 5 225H,16GB,1TB SSD,Intel Arc 130T Graphics,Windows 11,1.88kg,119000
216,Asus,VivoBook 16 F1607CA Series 2,Ultrabook,16,FHD 1920x1080,Intel Core Ultra 5 225H,16GB,1TB SSD,Intel Arc 130V Graphics,Windows 11,1.88kg,119000
217,Asus,VivoBook 15 A1504VA Series 1,Notebook,15.6,FHD 1920x1080,Intel Core 7 150U,16GB,512GB SSD,Intel Graphics,Windows 11,1.63kg,119000
218,Asus,VivoBook 15 A1504VA Series 1,Notebook,15.6,FHD 1920x1080,Intel Core 7 150U,16GB,512GB SSD,Intel Graphics,Windows 11,1.63kg,119000
219,Asus,VivoBook 14 F1407CA Series 2,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 225H,16GB,1TB SSD,Intel Arc 130T Graphics,Windows 11,1.40kg,119000
220,HP,EliteBook 640 G11 Series 1,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 125U,8GB,512GB SSD,Intel Graphics,Windows 11,1.39kg,121000
221,Lenovo,IdeaPad Slim 5 14IRH10R Series 2,Notebook,14,FHD 1920x1080,Intel Core 7 240H,16GB,1TB SSD,Intel Graphics,Windows 11,1.39kg,121500
222,Lenovo,LOQ Gaming 15IAX9E 12th Gen,Gaming,15.6,FHD 1920x1080,Intel Core i5 12450HX,16GB,512GB SSD,Nvidia RTX 3050 Graphics,Windows 11,2.38kg,122000
223,Acer,ALG AL15G-53,Gaming,15.6,FHD 1920x1080,Core 5 210H,6GB,512GB SSD,Nvidia RTX 3050 Graphics,Windows 11,1.99kg,122500
224,MSI,Thin 15 B13VE,Gaming,15.6,FHD 1920x1080,Intel Core i5 13420H,8GB,512GB SSD,Nvidia RTX 4050 Graphics,No OS,1.98kg,123900
225,Asus,Vivobook S14 S3407VA,Notebook,14,FHD 1920x1080,Intel Core 5 210H,16GB,512GB SSD,Intel Graphics,Windows 11,1.40kg,125000
226,MSI,Cyborg 15 Black Edition A13UC,Gaming,15.6,FHD 1920x1080,Intel Core i5 13420H,16GB,512GB SSD,Nvidia RTX 3050 Graphics,Windows 11,1.98kg,125000
227,Lenovo,ThinkPad E14 Gen 7 Series 2,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 5 225U,16GB,512GB SSD,Intel Graphics,Windows 11,1.36kg,126500
228,Asus,ExpertBook P3 G1 P3406CCA Series 2,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 7 255H,16GB,512GB SSD,Intel Arc 140T Graphics,Windows 11,1.40kg,129000
229,HP,Victus Gaming 15-fb3180AX,Gaming,15.6,FHD 1920x1080,AMD Ryzen 7 7445HS,8GB,1TB SSD,Nvidia RTX 3050 Graphics,Windows 11,2.29kg,129500
230,Asus,VivoBook S14 S3407VA,Notebook,14,FHD 1920x1080,Intel Core 5 210H,16GB,1TB SSD,Intel Graphics,Windows 11,1.40kg,130000
231,Asus,VivoBook Pro 16X M7600QE,Notebook,16,OLED 4K 3840x2160,AMD Ryzen 7 5800H,16GB,512GB SSD,Nvidia RTX 3050 Ti Graphics,Windows 11,1.80kg,131000
232,Lenovo,LOQ Gaming 15IAX9,Gaming,15.6,FHD 1920x1080,Intel Core i5 12450HX,16GB,512GB SSD,Nvidia RTX 3050 Graphics,Windows 11,2.38kg,131500
233,Lenovo,IdeaPad Slim 5 14IRH10R,Notebook,14,FHD 1920x1080,Core 5,32GB,1TB SSD,Intel Graphics,Windows 11,1.39kg,132000
234,Asus,TUF Gaming A15 FA506NCG,Gaming,15.6,FHD 1920x1080,AMD Ryzen 7 7445HS,8GB,512GB SSD,Nvidia RTX 3050 Graphics,Windows 11,2.30kg,134000
235,Asus,TUF Gaming A15 FA506NCQ,Gaming,15.6,FHD 1920x1080,AMD Ryzen 7 170,16GB,512GB SSD,Nvidia RTX 3050 Graphics,Windows 11,2.30kg,135000
236,Asus,VivoBook 16 M1607GA,Notebook,16,FHD 1920x1080,AMD Ryzen AI 7 445,16GB,512GB SSD,AMD Radeon 840M Graphics,Windows 11,1.80kg,135000
237,Asus,VivoBook 16 M1607GA,Notebook,16,FHD 1920x1080,AMD Ryzen AI 7 445,16GB,512GB SSD,AMD Radeon 840M Graphics,Windows 11,1.80kg,135000
238,Lenovo,LOQ Gaming 15IAX9E,Gaming,15.6,FHD 1920x1080,Intel Core i5 12450HX,16GB,512GB SSD,Nvidia RTX 4050 Graphics,Windows 11,2.38kg,135500
239,Lenovo,ThinkPad L14 Gen 6,Ultrabook,14,IPS Panel FHD 1920x1080,Core Ultra 5 225U,16GB,512GB SSD,Intel Graphics,Windows 11,1.36kg,135500
240,Lenovo,IdeaPad 5 2 in 1 14IAL10 Series 2,2 in 1 Convertible,14,Touchscreen FHD 1920x1080,Intel Core Ultra 5 225H,16GB,512GB SSD,Intel Arc Graphics,Windows 11,1.39kg,137000
241,HP,ProBook 460 G11 Series 1,Ultrabook,16,FHD 1920x1080,Intel Core Ultra 7 155H,8GB,512GB SSD,Intel Arc Graphics,Windows 11,1.56kg,137500
242,Lenovo,LOQ Gaming 15IAX9 12th Gen,Gaming,15.6,FHD 1920x1080,Intel Core i5 12450HX,16GB,512GB SSD,Nvidia RTX 4050 Graphics,Windows 11,2.38kg,140500
243,Asus,ExpertBook P5 P5405CSA,Ultrabook,14,WQXGA 2560x1600,Intel Core Ultra 5 226V,16GB,1TB SSD,Intel Arc 130V Graphics,Windows 11,1.40kg,142000
244,Lenovo,Yoga 7 2 in 1 14IML9 Series 1,2 in 1 Convertible,14,FHD 1920x1080,Intel Core Ultra 5 125H,16GB,512GB SSD,Intel Arc Graphics,Windows 11,1.39kg,143500
245,Acer,Swift Go 14 SFG14-73 Series 1,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 7 155H,16GB,1TB SSD,Intel Arc Graphics,Windows 11,1.32kg,146000
246,Acer,Swift Go 14 SFG14-73T,Ultrabook,14,Touchscreen FHD 1920x1080,Intel Core Ultra 7 155H,16GB,1TB SSD,Intel Arc Graphics,Windows 11,1.32kg,148000
247,Microsoft,(Certified Refurbished)Microsoft Surface Pro Copilot+ PC,2 in 1 Convertible,13,2880x1920,Snapdragon X Plus,16GB,256GB SSD,Qualcomm Adreno Graphics,Windows 11,0.88kg,148000
248,Acer,Swift Go 14 SFG14-73 Series 1,Ultrabook,14,OLED WQXGA 2560x1600,Intel Core Ultra 7 155H,16GB,1TB SSD,Intel Arc Graphics,Windows 11,1.32kg,148000
249,Lenovo,IdeaPad 5 2 in 1 14IAL10 Series 2,2 in 1 Convertible,14,FHD 1920x1080,Intel Core Ultra 7 255H,16GB,512GB SSD,Intel Arc 140T Graphics,Windows 11,1.39kg,152000
250,Asus,VivoBook S14 S3407CA,Ultrabook,14,FHD 1920x1080,Intel Core Ultra 7 255H,16GB,1TB SSD,Intel Arc 140T Graphics,Windows 11,1.40kg,154000
251,Gigabyte,Gaming A16 CVH,Gaming,16,FHD 1920x1080,Intel Core i7 13620H,16GB,1TB SSD,Nvidia RTX 5060 Graphics,Windows 11,2.05kg,154500
252,Lenovo,Yoga 7 2 in 1 14IML9,2 in 1 Convertible,14,OLED Touchscreen,Intel Core Ultra 5 125H,16GB,1TB SSD,Intel Arc Graphics,Windows 11,1.39kg,160000
253,Asus,VivoBook S 16 OLED M5606KA,Notebook,16,OLED,AMD Ryzen AI 5 340,16GB,512GB SSD,AMD Radeon 840M Graphics,Windows 11,1.80kg,160000
254,Asus,VivoBook S 16 OLED M5606KA,Notebook,16,OLED,AMD Ryzen AI 5 340,16GB,512GB SSD,AMD Radeon 840M Graphics,Windows 11,1.80kg,160000
255,Lenovo,Yoga 7 2 in 1 14IML9 Series 1,2 in 1 Convertible,14,OLED WQXGA 2560x1600,Intel Core Ultra 5 125H,16GB,512GB SSD,Intel Arc Graphics,Windows 11,1.39kg,160000
256,Lenovo,Yoga Slim 7 14IMH9 Series 1,2 in 1 Convertible,14,FHD 1920x1080,Intel Core Ultra 5 125H,16GB,512GB SSD,Intel Arc graphics,Windows 11,1.39kg,160000
257,Asus,ZenBook 14 OLED UX3405CA,Ultrabook,14,OLED Touchscreen FHD 1920x1080,Intel Core Ultra 5 225H,16GB,512GB SSD,Intel Arc 130T Graphics,Windows 11,1.28kg,160000
258,Lenovo,Yoga 7 2-in-1 14AKP10,2 in 1 Convertible,14,Touchscreen FHD 1920x1080,AMD Ryzen AI 5 340,24GB,1TB SSD,AMD Radeon 840M Graphics,Windows 11,1.39kg,164000
259,Lenovo,ThinkPad E14 Gen 7,Ultrabook,14,IPS Panel FHD 1920x1080,Intel Core Ultra 7 255H,16GB,512GB SSD,Intel Arc 140T Graphics,Windows 11,1.36kg,165000
260,Lenovo,IdeaPad Slim 5 16AHP10,Notebook,16,OLED WQXGA 2560x1600,AMD Ryzen 7 8845HS,32GB,1TB SSD,AMD Radeon 780M Graphics,Windows 11,2.30kg,165000
261,Lenovo,Yoga Slim 7 14ILL10 Series 2,2 in 1 Convertible,14,FHD 1920x1080,Intel Core Ultra 7 256V,16GB,512GB SSD,Intel Arc 140V Graphics,Windows 11,1.39kg,165000
262,Asus,Zenbook 14 UM3406GA,Notebook,14,OLED FHD 1920x1080,AMD Ryzen AI 5 430,16GB,512GB SSD,AMD Radeon 840M Graphics,Windows 11,1.20kg,165000
263,MSI,Cyborg 15 B2RWEKG Series 2,Gaming,15.6,FHD 1920x1080,Intel Core 5 210H,16GB,512GB SSD,Nvidia RTX 5050 Graphics,Windows 11,1.98kg,165900
264,Microsoft,Surface Laptop 6 for Business Series 1,Ultrabook,13.5,Touchscreen,Intel Core Ultra 5 135H,16GB,256GB SSD,Intel Arc graphics,Windows 11,1.34kg,167000
265,Asus,TUF Gaming A16 FA607NUQ,Gaming,16,FHD 1920x1080,AMD Ryzen 7 170,16GB,512GB SSD,Nvidia RTX 4050 Graphics,Windows 11,2.20kg,167000
266,Lenovo,LOQ 15AHP10,Gaming,15.6,FHD 1920x1080,AMD Ryzen 5 220,16GB,1TB SSD,Nvidia RTX 5050 Graphics,Windows 11,2.38kg,168000
267,MSI,Cyborg 15 B13WEKG,Gaming,15.6,FHD 1920x1080,Intel Core i7 13620H,16GB,512GB SSD,Nvidia RTX 5050 Graphics,Windows 11,1.98kg,170000
268,Lenovo,LOQ 15IRX10,Gaming,15.6,FHD 1920x1080,Intel Core i7 13650HX,16GB,512GB SSD,Nvidia RTX 5050 Graphics,Windows 11,2.38kg,170500
269,Lenovo,LOQ 15AHP10,Gaming,15.6,FHD 1920x1080,AMD Ryzen 7 250,16GB,1TB SSD,Nvidia RTX 5050 Graphics,Windows 11,2.38kg,172000
270,Lenovo,IdeaPad Slim 5 15ARP10,Notebook,15.1,OLED WQXGA 2560x1600,AMD Ryzen 7 7735HS,32GB,1TB SSD,AMD Radeon 680M Graphics,Windows 11,1.90kg,173000
271,Lenovo,Yoga Slim 7 14ILL10 Series 2,2 in 1 Convertible,14,FHD 1920x1080,Intel Core Ultra 5 228V,32GB,1TB SSD,Intel Arc 130V Graphics,Windows 11,1.39kg,173500
272,Apple,MacBook Air (Early 2026),Notebook,13.6,Retina 2560x1600,Apple M5,16GB,512GB SSD,Apple 8-Core GPU,macOS,1.24kg,174000
273,Lenovo,IdeaPad Slim 5 16AKP10,Notebook,16,OLED WQXGA 2560x1600,AMD Ryzen AI 7 350,32GB,1TB SSD,AMD Radeon 860M Graphics,Windows 11,2.30kg,175000
274,Gigabyte,AERO X16 1VH,Gaming,16,FHD 1920x1080,AMD Ryzen AI 7 350,16GB,1TB SSD,Nvidia RTX 5060 Graphics,Windows 11,2.05kg,179000
275,Asus,ZenBook A14 OLED UX3407RA,Notebook,14,OLED FHD 1920x1080,Snapdragon X Elite X1E-78-100,16GB,1TB SSD,Qualcomm Adreno Graphics,Windows 11,0.98kg,182000
276,Microsoft,Surface Laptop 7 Copilot+ PC 7th Edition,Ultrabook,13.8,Touchscreen,Snapdragon X Plus,16GB,512GB SSD,Qualcomm Adreno Graphics,Windows 11,1.34kg,184000
277,Microsoft,Surface Laptop 1st Edition Copilot+ PC,Ultrabook,13,Touchscreen,Snapdragon X Plus,16GB,512GB SSD,Qualcomm Adreno Graphics,Windows 11,1.34kg,184000
278,MSI,Katana 15 HX B14WEK 14th Gen,Gaming,15.6,QHD 2560x1440,Intel Core i7 14650HX,16GB,512GB SSD,Nvidia RTX 5050 Graphics,Windows 11,1.98kg,185000
279,Lenovo,Yoga Slim 7 14Q8X9,2 in 1 Convertible,14.5,2944x1840,Snapdragon X Elite X1E-78-100,16GB,512GB SSD,Qualcomm Adreno Graphics,Windows 11,1.41kg,187000
280,Asus,TUF Gaming A14 FA401UH,Gaming,14,WQXGA 2560x1600,AMD Ryzen 7 260,16GB,512GB SSD,Nvidia RTX 5050 Graphics,Windows 11,1.50kg,192000
281,Asus,V16 V3607VH Series 2,Gaming,16,FHD 1920x1080,Intel Core 7 240H,16GB,512GB SSD,Nvidia RTX 5050 Graphics,Windows 11,2.20kg,194000
282,Asus,ZenBook 14 UX3405CA,Ultrabook,14,OLED FHD 1920x1080,Intel Core Ultra 7 255H,16GB,512GB SSD,Intel Arc 140T Graphics,Windows 11,1.28kg,195000
283,Lenovo,Yoga Slim 7 14IMH9 Series 1,2 in 1 Convertible,14,FHD 1920x1080,Intel Core Ultra 9 185H,32GB,1TB SSD,Intel Arc Graphics,Windows 11,1.39kg,196000
284,MSI,Katana 15 HX B14WFK,Gaming,15.6,QHD 2560x1440,Intel Core i7 14650HX,16GB,512GB SSD,Nvidia RTX 5060 Graphics,Windows 11,1.98kg,197900
285,Microsoft,Surface Pro Copilot+ PC 11th Edition (Wi-Fi),2 in 1 Convertible,13,2880x1920,Snapdragon X Plus,16GB,512GB SSD,Qualcomm Adreno Graphics,Windows 11,0.88kg,199000
286,Lenovo,Legion 5 Gaming 15IRX10 14th Gen,Gaming,15.1,WQXGA 2560x1600,Intel Core i7 14700HX,24GB,512GB SSD,Nvidia RTX 5050 Graphics,Windows 11,1.90kg,200000
